;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;0;Customer FCST;Customer FCST;Customer FCST;;;;;;;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;;;;;;;;;;
304 / 304L;1.4301;0.3;;-0.03;0.03;N15713;-0.5;0;590;Slit;SKP/TL;N;ESG EDELSTAHL SCHNEIDSERVICE GMBH;ESG EDELSTAHL SCHNEIDSERVICE GMBH;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Dejan;Margarita
304 / 304L;1.4301;0.3;;-0.03;0.03;N15714;-0.5;0;570;Slit;SKP/TL;N;ESG EDELSTAHL SCHNEIDSERVICE GMBH;ESG EDELSTAHL SCHNEIDSERVICE GMBH;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Dejan;Margarita
304 / 304L;1.4301;0.3;;-0.02;0.02;N15914;0;0.25;75;Slit;SKP/TL;N;BRUGG Rohrsysteme GmbH;BRUGG Rohrsysteme GmbH;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Dejan;Pano
304 / 304L;1.4301;0.3;;-0.03;0.03;N15925;0;0.6;420;Slit;SKP/TL;N;ESG EDELSTAHL SCHNEIDSERVICE GMBH;ESG EDELSTAHL SCHNEIDSERVICE GMBH;N;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Dejan;Margarita
304 / 304L;1.4301;0.3;;-0.015;0.015;N15996;0;0.15;100.4;Slit;SKP/TL;N;0;AZ INTEC PRO s.r.o.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Sophie; Lucie
304 / 304L;1.4301;0.3;;-0.025;0.025;N16018;0;0.5;750;Slit;SKP/TL;N;0;WWS Metallformen GmbH;N;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Frank
304 / 304L;1.4301;0.3;;-0.015;0.015;N16064;0;0.4;660;Slit;SKP/TL;N;Culimeta Automotive;SE Transporte und Spedition GmbH;N;2R;;0;0;5818;0;2966;10000;0;0;0;0;0;0;;;;#REF!;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.3;;-0.02;0.02;N16077;0;0.1;23;Slit;SKP/TL;N;0;ETA d.o.o. CERKNO;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Dejan;Frank
304 / 304L;1.4301;0.3;;-0.025;0.025;N16088;0;0.5;321;Slit;SKP/TL;Y;MODINE HUNGARIA KFT;MODINE HUNGARIA KFT;N;;;1329;0;758;732;0;2000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;x;;;;Dejan;Sophia
304 / 304L;1.4301;0.3;;-0.03;0.03;N16137;0;0.5;278;Slit;SKP/TL;N;ESG EDELSTAHL SCHNEIDSERVICE GMBH;ESG EDELSTAHL SCHNEIDSERVICE GMBH;N;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Dejan;Margarita
304 / 304L;1.4301;0.3;;-0.015;0.015;N16461;0;0.4;640;Slit;SKP/TL;N;Culimeta Automotive;SE Transporte und Spedition GmbH;N;2R;;0;3313;0;8248;6337;0;0;6000;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.3;;-0.015;0.015;N16462;0;0.4;750;Slit;SKP/TL;N;Culimeta Automotive;SE Transporte und Spedition GmbH;N;2R;;5672;0;0;5559;5792;6000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.3;;-0.02;0.02;N16509;0;0.15;31;Slit;SKP/TL;N;0;ALSIMA D.O.O.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Dejan;Judith
304 / 304L;1.4301;0.3;;-0.015;0.015;N16524;0;0.4;900;Slit;SKP/TL;N;Culimeta Automotive;SE Transporte und Spedition GmbH;N;2R;;0;5333;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.3;;-0.015;0.015;N16579;0;0.4;570;Slit;SKP/TL;N;Culimeta Automotive;SE Transporte und Spedition GmbH;N;2R;;0;2950;0;0;0;4000;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.3;;-0.02;0.02;N16944;-0.05;0.05;27.7;Slit;SKP/TL;N;Backer OBR SP Z.O.O;Backer OBR Sp.z o.o.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;X;;;Sophie;Erika
304 / 304L;1.4301;0.3;;-0.016;0.016;N17054;0;0.15;46;Slit;SKP/TL;N;0;AZ INTEC PRO s.r.o.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Sophie; Lucie
304 / 304L;1.4301;0.3;;-0.02;0.02;N1871;-0.05;0.05;23;Slit;SKP/TL;N;BACKER BHV AB;BACKER BHV AB;Y;;;0;2954;0;5308;2020;6020;3000;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;;;;Sophie;Erika
304 / 304L;1.4301;0.3;;-0.02;0.02;N1871;-0.05;0.05;23;Slit;SKP/TL;N;0;Backer OBR SP Z.O.O;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;x;;X;;;Sophie;Erika
304 / 304L;1.4301;0.3;;-0.02;0.02;N1871;-0.05;0.05;23;Slit;SKP/TL;N;Backer OBR SP Z.O.O;Backer OBR Sp.z o.o.;Y;;;12349;23862;13653;6173;8510;6500;0;5000;5000;0;0;0;;;;#REF!;0;;;;;18;;;;;0;0;0;0;0;0;0;0;18;0;;x;;X;;;Sophie;Erika
304 / 304L;1.4301;0.3;;-0.04;0.04;N8622;0;0.5;210;Slit;SKP/TL;Y;MODINE HUNGARIA KFT;MODINE HUNGARIA KFT;N;;;1814;935;2712;2666;1096;0;0;2000;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;x;;;;Dejan;Sophia
304 / 304L;1.4301;0.3;;-0.025;0.025;N8770;-0.15;0.15;96.5;Slit;SKP/TL;N;Jura-Plussz Kft;Jura-Plussz Kft;Y;;;0;0;2906;0;0;0;3000;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X;;;;Dejan;Angela
304 / 304L;1.4301;0.3;;-0.03;0.03;N9579;-0.5;0;200;Slit;SKP/TL;N;Klaus Baier GmbH & Co. KG;Klaus Baier GmbH & Co. KG;N;;;2165;0;2684;2764;0;2000;2000;2000;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X;;;;Dejan;Angela
304 / 304L;1.4301;0.3;;-0.015;0.015;N3933;0;0.4;540;Slit;SKP/TL;N;Culimeta Automotive;SE Transporte und Spedition GmbH;N;2R;;5230;0;4757;0;2937;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;Florian;Grace
304 / 304L;1.4301;0.3;;-0.03;0.03;N5733;-0.5;0;170;Slit;SKP/TL;N;Klaus Baier GmbH & Co. KG;Klaus Baier GmbH & Co. KG;N;;;0;0;1137;0;0;1588;0;0;2000;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X;;;;Dejan;Angela
304 / 304L;1.4301;0.3;;-0.03;0.03;N6319;0;0.4;420;Slit;SKP/TL;N;Klaus Baier GmbH & Co. KG;Klaus Baier GmbH & Co. KG;N;;;0;7833;0;8175;0;0;0;8000;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X;;;;Dejan;Angela
304 / 304L;1.4301;0.3;;-0.02;0.02;N7283;0;0.4;440;Slit;SKP/TL;N;Klaus Baier GmbH & Co. KG;Klaus Baier GmbH & Co. KG;N;;;4296;0;4197;4174;0;4000;0;4000;4000;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X;;;;Dejan;Angela
