SDG S/O Number;Ncode;Customer PO No.;Otx Item;Surface;Grade;Thickness;Width;Material;Description;     Order Qty;In Production Qty;   Produced Qty;    In Transit;Transfered Qty;Final Qty;Production Balance;Warehouse STOCK Qty;RequestDeliveryDate;OTX Sales Order;Status Description;;
APC_FEB_Prep;N16372;CSM Tube Spa;150;2B;1.4301;1;99.2;542ATY100NA0048;CRC/SLIT 1.4301 2B 1X99.2MM;18;0;-19.36;19.36;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N16712;BRUGG Rohrsysteme;170;2B;1.4301;1.2;696;542ATY120NA0007;CRC/SLIT 1.4301 2B 1.2X696MM;18;0;-19.2;19.2;0;0;-18;0;46752;32087379;;;
APC_FEB_Prep;N7028;HEXONIC;180;2B;1.4404;0.35;134;542ATL035NA0005;CRC/Slit 1.4404 2B 0.35x134mm;18;0;-19.17;19.17;0;0;-18;32.417;46752;32087379;;;
APC_FEB_Prep;N12880;Alfa Laval Technologies AB;190;2B;1.4404;0.378;750;542ATL040NA0141;CRC/Slit 1.4404 2B 0.378x750mm;36;0;-56.9;56.9;0;0;-36;7.38;46752;32087379;;;
APC_FEB_Prep;N13218;Kelvion PHE;200;2B;1.4404;0.4;750;542ATL040NA0147;CRC/Slit 1.4404 2B 0.40x750mm;36;0;0;58.48;0;0;-36;0;46752;32087379;;;
APC_FEB_Prep;N8202;Kelvion Brazed;210;2B;1.4404;0.4;397;542ATL040NA0133;CRC/Slit 1.4404 2B 0.40x397mm;54;0;-55.74;55.74;0;0;-54;39.395;46752;32087379;;;
APC_FEB_Prep;N16280;Danfoss A/S;220;2B;1.4404;0.4;1000;542ATL0401A0002;CRC/Slit 1.4404 2B 0.40x1000mm;36;0;-38.19;38.19;0;0;-36;0;46752;32087379;;;
APC_FEB_Prep;N0282;Swep International AB;230;2B;1.4404;0.4;312.5;542ATL040NA0003;CRC/Slit 1.4404 2B 0.40x312.5mm;72;0;-76.46;76.46;0;0;-72;0;46752;32087379;;;
APC_FEB_Prep;;;;;;;;;;936;0;-671.39;943.9;0;0;-936;106.678;;;;;
APC_JAN_Prep;N14591;Pulvini SRL;10;2B;1.4404(N);0.295;333;542ATF030NA0011;CRC/Slit 1.4404(N) 2B 0.295x333mm;126;0;-128.65;128.65;0;0;-126;61.074;46752;32086875;;;
